FTHG,FTAG,HTR,HTHG,AST,HTAG,AF,HST,BWA,HS
0.0,2.0,0,0.0,4.0,1.0,8.0,3.0,3.1,11.0
2.0,0.0,2,2.0,5.0,0.0,10.0,4.0,4.5,8.0
2.0,0.0,2,1.0,3.0,0.0,11.0,8.0,4.6,20.0
2.0,0.0,2,1.0,0.0,0.0,6.0,8.0,8.0,22.0
0.0,2.0,1,0.0,6.0,0.0,13.0,2.0,3.2,10.0
5.0,1.0,2,2.0,4.0,0.0,9.0,16.0,3.3,26.0
1.0,1.0,0,0.0,1.0,1.0,8.0,3.0,2.8,17.0
0.0,2.0,1,0.0,8.0,0.0,12.0,1.0,1.68,12.0
1.0,1.0,1,0.0,4.0,0.0,12.0,3.0,2.5,9.0
3.0,0.0,2,1.0,2.0,0.0,14.0,7.0,6.5,12.0
1.0,1.0,2,1.0,3.0,0.0,10.0,7.0,4.75,17.0
2.0,2.0,1,1.0,4.0,1.0,11.0,8.0,4.0,20.0
0.0,1.0,1,0.0,3.0,0.0,11.0,3.0,2.2,9.0
0.0,1.0,1,0.0,3.0,0.0,20.0,2.0,2.3,13.0
3.0,2.0,2,3.0,2.0,0.0,15.0,4.0,4.0,11.0
0.0,0.0,1,0.0,2.0,0.0,12.0,7.0,1.91,10.0
4.0,1.0,2,3.0,5.0,1.0,8.0,5.0,8.25,19.0
1.0,1.0,1,1.0,4.0,1.0,16.0,6.0,4.1,23.0
2.0,0.0,2,1.0,0.0,0.0,11.0,5.0,2.75,23.0
2.0,1.0,2,1.0,5.0,0.0,7.0,7.0,5.0,17.0
2.0,1.0,1,0.0,2.0,0.0,7.0,6.0,6.0,19.0
1.0,0.0,2,1.0,3.0,0.0,10.0,2.0,4.6,7.0
1.0,2.0,0,0.0,3.0,1.0,15.0,3.0,5.25,12.0
0.0,0.0,1,0.0,2.0,0.0,17.0,5.0,7.25,12.0
1.0,3.0,1,1.0,7.0,1.0,10.0,4.0,1.66,12.0
0.0,2.0,0,0.0,6.0,1.0,14.0,2.0,1.49,10.0
2.0,0.0,2,1.0,2.0,0.0,13.0,3.0,3.1,10.0
2.0,2.0,1,2.0,3.0,2.0,8.0,7.0,4.4,17.0
3.0,3.0,1,1.0,7.0,1.0,19.0,8.0,2.45,10.0
1.0,2.0,0,0.0,3.0,1.0,26.0,1.0,2.35,5.0
0.0,0.0,1,0.0,2.0,0.0,18.0,3.0,3.4,8.0
4.0,0.0,2,3.0,0.0,0.0,12.0,9.0,4.1,16.0
3.0,2.0,1,1.0,3.0,1.0,9.0,7.0,6.5,15.0
0.0,0.0,1,0.0,3.0,0.0,13.0,7.0,5.25,23.0
1.0,3.0,0,1.0,8.0,2.0,12.0,9.0,2.1,22.0
3.0,0.0,1,0.0,0.0,0.0,10.0,5.0,2.5,12.0
1.0,0.0,2,1.0,4.0,0.0,16.0,6.0,15.0,13.0
3.0,1.0,2,1.0,6.0,0.0,11.0,4.0,3.4,17.0
2.0,7.0,0,0.0,7.0,3.0,10.0,4.0,1.75,6.0
3.0,3.0,2,1.0,5.0,0.0,10.0,10.0,19.0,31.0
1.0,0.0,1,0.0,8.0,0.0,10.0,8.0,8.5,24.0
3.0,2.0,1,1.0,4.0,1.0,11.0,7.0,2.0,12.0
4.0,0.0,2,2.0,1.0,0.0,11.0,8.0,7.75,20.0
2.0,1.0,1,1.0,4.0,1.0,11.0,6.0,2.15,13.0
3.0,3.0,1,2.0,8.0,2.0,9.0,7.0,3.9,10.0
2.0,0.0,2,2.0,1.0,0.0,10.0,5.0,5.25,12.0
0.0,3.0,0,0.0,7.0,2.0,11.0,6.0,2.0,12.0
2.0,3.0,0,0.0,4.0,2.0,9.0,3.0,3.3,11.0
0.0,1.0,1,0.0,7.0,0.0,13.0,4.0,2.65,6.0
0.0,2.0,0,0.0,4.0,1.0,9.0,3.0,2.25,16.0
0.0,1.0,1,0.0,5.0,0.0,11.0,3.0,1.87,8.0
2.0,1.0,2,1.0,2.0,0.0,11.0,9.0,6.75,17.0
0.0,1.0,0,0.0,4.0,1.0,18.0,3.0,3.7,5.0
2.0,2.0,2,1.0,9.0,0.0,13.0,5.0,3.5,17.0
1.0,0.0,2,1.0,2.0,0.0,11.0,3.0,6.25,15.0
2.0,0.0,1,0.0,7.0,0.0,8.0,4.0,4.2,20.0
0.0,2.0,0,0.0,7.0,1.0,10.0,2.0,2.45,10.0
1.0,4.0,0,0.0,9.0,4.0,8.0,4.0,1.45,14.0
3.0,2.0,0,1.0,4.0,2.0,17.0,8.0,6.25,18.0
1.0,1.0,0,0.0,9.0,1.0,13.0,4.0,2.5,21.0
1.0,3.0,0,0.0,2.0,1.0,20.0,5.0,2.25,8.0
1.0,2.0,1,1.0,6.0,1.0,13.0,6.0,5.0,23.0
2.0,1.0,2,1.0,8.0,0.0,17.0,11.0,8.75,14.0
0.0,2.0,1,0.0,5.0,0.0,15.0,3.0,1.73,7.0
1.0,1.0,1,0.0,4.0,0.0,12.0,4.0,4.1,14.0
0.0,0.0,1,0.0,4.0,0.0,12.0,1.0,2.65,4.0
5.0,5.0,2,2.0,12.0,1.0,14.0,8.0,2.6,23.0
1.0,2.0,0,0.0,4.0,2.0,15.0,2.0,2.25,12.0
2.0,2.0,1,1.0,3.0,1.0,19.0,7.0,2.3,10.0
0.0,2.0,0,0.0,5.0,2.0,12.0,1.0,1.44,8.0
1.0,0.0,2,1.0,2.0,0.0,8.0,3.0,1.38,9.0
3.0,2.0,2,2.0,7.0,1.0,12.0,7.0,4.33,21.0
0.0,1.0,1,0.0,4.0,0.0,11.0,4.0,1.6,9.0
2.0,0.0,1,0.0,2.0,0.0,8.0,5.0,2.95,12.0
1.0,0.0,1,0.0,4.0,0.0,15.0,7.0,6.25,18.0
1.0,2.0,2,1.0,4.0,0.0,20.0,1.0,3.7,7.0
0.0,2.0,0,0.0,5.0,1.0,10.0,1.0,3.4,12.0
0.0,1.0,1,0.0,3.0,0.0,9.0,5.0,1.88,16.0
3.0,1.0,2,3.0,2.0,1.0,11.0,5.0,5.25,16.0
3.0,0.0,2,1.0,3.0,0.0,9.0,5.0,8.5,25.0
0.0,4.0,0,0.0,5.0,1.0,14.0,3.0,3.0,13.0
1.0,3.0,2,1.0,4.0,0.0,11.0,4.0,4.25,15.0
1.0,1.0,2,1.0,3.0,0.0,11.0,3.0,1.9,11.0
1.0,2.0,2,1.0,4.0,0.0,19.0,3.0,3.3,7.0
1.0,0.0,2,1.0,0.0,0.0,18.0,6.0,3.5,10.0
3.0,0.0,2,2.0,0.0,0.0,13.0,10.0,8.25,21.0
1.0,2.0,1,1.0,4.0,1.0,18.0,5.0,4.2,18.0
3.0,1.0,2,2.0,4.0,1.0,17.0,4.0,3.7,12.0
1.0,2.0,1,1.0,5.0,1.0,10.0,7.0,1.85,12.0
2.0,1.0,1,0.0,7.0,0.0,15.0,3.0,3.0,9.0
0.0,1.0,1,0.0,2.0,0.0,16.0,4.0,2.75,11.0
5.0,2.0,2,2.0,6.0,1.0,17.0,9.0,3.8,14.0
0.0,1.0,1,0.0,6.0,0.0,14.0,3.0,1.75,14.0
3.0,0.0,2,3.0,0.0,0.0,9.0,9.0,6.0,13.0
4.0,2.0,2,3.0,5.0,1.0,15.0,14.0,7.25,24.0
0.0,5.0,0,0.0,7.0,3.0,8.0,2.0,1.46,6.0
1.0,2.0,2,1.0,5.0,0.0,19.0,2.0,2.1,6.0
1.0,0.0,1,0.0,2.0,0.0,13.0,3.0,9.5,14.0
4.0,0.0,2,1.0,1.0,0.0,10.0,7.0,1.73,10.0
2.0,2.0,1,0.0,5.0,0.0,15.0,5.0,3.5,14.0
3.0,1.0,2,2.0,3.0,1.0,14.0,5.0,3.7,13.0
0.0,2.0,0,0.0,4.0,1.0,14.0,5.0,2.55,12.0
1.0,2.0,2,1.0,4.0,0.0,16.0,6.0,1.87,8.0
1.0,3.0,0,1.0,5.0,2.0,19.0,4.0,2.55,20.0
0.0,0.0,1,0.0,0.0,0.0,11.0,3.0,4.1,9.0
1.0,0.0,1,0.0,3.0,0.0,9.0,5.0,3.4,14.0
0.0,1.0,1,0.0,3.0,0.0,12.0,1.0,2.75,4.0
1.0,2.0,1,1.0,7.0,1.0,21.0,3.0,1.75,8.0
0.0,1.0,0,0.0,4.0,1.0,11.0,4.0,5.25,19.0
